username,userid,profile_location,created_at,text,retweet_count,source,coordinates
PNW Showdown 🎙,1435696392635256835,"Seattle, WA",2023-01-24 05:05:30,"🚨New Episode - S2 E11🚨

•News, updates and discussions on the: @Seahawks @SeawolvesRugby @seattlestorm @OLReign… https://t.co/KIayFuhOjI",1,Twitter for iPhone,
rob.. 🫵 👊🏼 🤝,1196085498558603264,"Seattle, WA",2023-01-24 05:02:29,@LeBumJames006 @TariqIsland @JarvisCards @MikeHegamen @GenoSmith3 @Seahawks Obv it’s diff starting than being a backup.,0,Twitter for iPhone,
Scottydo16,1387357574,"Lakewood, WA",2023-01-24 05:02:00,@m_booker1 The Seahawks have played so many bonkers games in the last 10 years it's hard to pick just one,0,Twitter for Android,
rob.. 🫵 👊🏼 🤝,1196085498558603264,"Seattle, WA",2023-01-24 05:00:29,@LeBumJames006 @TariqIsland @JarvisCards @MikeHegamen @GenoSmith3 @Seahawks No I see us having a 10-7 or 11-6.,0,Twitter for iPhone,
Adil,396363804,"Kent, WA",2023-01-24 04:50:22,@HustleChillson Seahawks need someone with a menance mentality on defense,0,Twitter for iPhone,
Luke,389482944,"Seattle, Washington",2023-01-24 04:49:16,@mikefreemanNFL Twitter,0,Twitter for iPhone,
oggydoggy,2192951346,"maple valley, wa",2023-01-24 04:38:24,@craigcartonlive My experience has been Packers fans are like this!! Super nice until it looks they’re going to win… https://t.co/Hc8ocEKZfB,0,Twitter for iPhone,
Pablo Perez,1646430108,"Seattle, WA",2023-01-24 04:34:38,@CorbinSmithNFL @Locked_Seahawks Myles Murphy. Don’t be weird,0,Twitter for iPhone,
"Dugar, Michael-Shawn",52543345,"Seattle, WA",2023-01-24 04:26:42,The #Seahawks defensive rookies had a strong debut in 2022. Tariq Woolen in particular was on fire. DPOY candidate… https://t.co/14agwObPJD,3,Twitter for iPhone,
Seattle Sports,22961177,"Seattle, Washington",2023-01-24 04:23:00,"Could the #Seahawks find the next Brock Purdy in this year's draft?

@BrockHuard thinks a good candidate to be that… https://t.co/Y4O9snHMOS",1,TweetDeck,
Mickey Bugh,540548152,"Seattle, WA",2023-01-24 04:14:45,"@Seahawks @seahawksPR @12s @ChuckArnoldSEA
Please make #touchdowncity free on gameday again. Some cant afford to go… https://t.co/NC0MEk4ckL",0,Twitter Web App,
